,actual,predict
0,0.76444995,0.7777778
1,0.7894411,0.84126985
2,0.7477656,0.85714287
3,0.7811147,0.8095238
4,0.7894411,0.8095238
5,0.76444995,0.8095238
6,0.76444995,0.7936508
7,0.76444995,0.82539684
8,0.7561114,0.7777778
9,0.77278435,0.85714287
10,0.7477656,0.85714287
11,0.7894411,0.84126985
12,0.7894411,0.85714287
13,0.7811147,0.8730159
14,0.7894411,0.7777778
15,0.7977637,0.7777778
16,0.7477656,0.85714287
17,0.7477656,0.8888889
18,0.7894411,0.8730159
19,0.74833035,0.8888889
20,0.7959547,0.8913044
21,0.8130413,0.8369565
22,0.80734813,0.8913044
23,0.77885145,0.90217394
24,0.80734813,0.8695652
25,0.8130413,0.8695652
26,0.7959547,0.84782606
27,0.7959547,0.8804348
28,0.78455424,0.82608694
29,0.8016523,0.8695652
30,0.7731467,0.8695652
31,0.7959547,0.8695652
32,0.7959547,0.8695652
33,0.7959547,0.8804348
34,0.7959547,0.8695652
35,0.8016523,0.8369565
36,0.7959547,0.8913044
37,0.77885145,0.8695652
38,0.80734813,0.8586956
39,0.7143594,0.84782606
