,0,0
0,0.6380777,0.5364087
1,0.6300796,0.52918345
2,0.6107821,0.5399956
3,0.5855796,0.5344252
4,0.56093866,0.52126276
5,0.5382377,0.5046795
6,0.52263284,0.4881951
7,0.51357967,0.4707489
8,0.5076577,0.45911127
9,,0.4524948
10,0.4989109,0.44822127
11,0.49700493,0.47458005
12,,0.4417096
13,0.49438432,0.44029254
14,0.49145734,0.46605432
15,0.4894493,0.4383518
16,0.48788372,0.43619424
17,,0.4347204
18,0.48271048,0.43357477
19,0.48141718,0.46065044
20,,0.42981163
21,0.47586954,0.4288762
22,,0.45684722
23,0.46994758,0.42488778
24,0.4665441,0.47810158
25,0.46491048,0.42067415
26,0.4609965,0.41827297
27,,0.41712597
28,0.4549724,0.4143917
29,0.4528963,0.44696945
30,0.4501055,0.4102227
31,,0.40879694
32,0.44462594,0.40688947
33,,0.44011998
34,0.44178408,0.40317437
35,0.43821046,0.4648264
36,,0.4012633
37,0.4320162,0.39887565
38,0.42888498,0.43389407
39,0.42721733,0.39477783
40,0.42486894,0.39272612
41,0.4238479,0.39163893
42,0.41976377,0.39011425
43,0.41782382,0.38945365
44,0.42003605,0.38682583
45,0.43228844,0.3855856
46,0.4337179,0.38700032
47,,0.39495686
48,0.45344087,0.39589846
49,0.45112652,0.42865765
50,0.45452997,0.4091703
51,0.44368997,0.4075861
52,0.4116636,0.4099183
53,0.40152133,0.40254375
54,0.39348918,0.38168174
55,0.39042607,0.37536922
56,,0.3704722
57,0.38494655,0.36862865
58,0.38266623,0.40806636
59,0.38212168,0.36537674
60,0.3782077,0.3640561
61,0.37463412,0.3637419
62,0.49998295,0.36149776
63,0.7618439,0.35947
64,0.81590766,0.44250864
65,0.5669287,0.6340958
66,0.38763526,0.6795053
67,0.3996154,0.49286294
68,0.38586548,0.36696053
69,0.37582532,0.37419897
70,0.371537,0.36591133
71,0.3700735,0.36014363
72,0.36789528,0.35772914
73,0.36929068,0.35691184
74,0.36830372,0.35570183
75,0.36871213,0.35647613
76,,0.35592815
77,0.3700735,0.3561547
78,0.3718433,0.39539576
79,0.374532,0.35691184
80,0.37626776,0.35790056
81,,0.35941237
82,0.38566127,0.36039442
83,0.38974538,0.3984781
84,0.39662036,0.36579245
85,0.40645632,0.36822072
86,0.41489688,0.37237042
87,0.42435843,0.3784228
88,,0.38372418
89,0.43952078,0.38978386
90,,0.41926748
91,,0.3997491
92,0.4484718,0.44865358
93,0.4373766,0.43263888
94,0.41506702,0.40577766
95,0.3900177,0.398321
96,0.3667381,0.38383207
97,0.34905723,0.36838382
98,0.3357157,0.35506216
99,0.32792184,0.34183508
100,0.64560694,0.50086963
101,,0.4752624
102,0.6125427,0.5453003
103,,0.45300728
104,0.54936355,0.5224471
105,0.6125427,0.43462735
106,0.6125427,0.47922388
107,0.57963365,0.5224471
108,0.57963365,0.5224471
109,0.6125427,0.50086963
110,0.64560694,0.50086963
111,0.67587703,0.5224471
112,,0.5453003
113,0.6125427,0.56720704
114,,0.51455826
115,0.57963365,0.5224471
116,,0.4891287
117,0.6125427,0.50086963
118,0.57963365,0.46410847
119,0.6125427,0.5224471
120,0.57963365,0.50086963
121,,0.5224471
122,0.64560694,0.50086963
123,0.64560694,0.49619097
124,0.6125427,0.5453003
125,0.6125427,0.5453003
126,,0.5224471
127,0.64560694,0.5224471
128,0.6125427,0.49619097
129,,0.5453003
130,0.6125427,0.5224471
131,0.57963365,0.51455826
132,0.6125427,0.5224471
133,0.57963365,0.50086963
134,,0.5224471
135,,0.50086963
136,0.6125427,0.49619097
137,0.6125427,0.4752624
138,0.64560694,0.5224471
139,0.64560694,0.5224471
140,0.64560694,0.5453003
141,,0.5453003
142,,0.5453003
143,,0.51455826
144,0.6125427,0.51455826
145,,0.4891287
146,0.57963365,0.5224471
147,0.64560694,0.46410847
148,0.6125427,0.50086963
149,0.6125427,0.5453003
150,0.54936355,0.5224471
151,,0.5224471
152,0.64560694,0.47922388
153,0.67587703,0.49619097
154,0.64560694,0.5453003
155,,0.56720704
156,,0.5453003
157,,0.5323258
158,0.57963365,0.51455826
159,0.57963365,0.5041099
160,0.6125427,0.50086963
161,,0.50086963
162,0.57963365,0.5224471
163,0.64560694,0.4752624
164,0.64560694,0.50086963
165,0.67587703,0.5453003
166,0.64560694,0.5453003
167,0.6125427,0.56720704
168,0.57963365,0.5453003
169,,0.5224471
170,,0.50086963
171,0.6125427,0.49619097
172,0.64560694,0.4752624
173,0.64560694,0.5224471
174,0.6125427,0.5453003
175,,0.5453003
176,0.57963365,0.5224471
177,0.57963365,0.51455826
178,0.57963365,0.50086963
179,0.6125427,0.50086963
180,0.57963365,0.50086963
181,0.57963365,0.5224471
182,0.57963365,0.50086963
183,0.6125427,0.50086963
184,0.57963365,0.50086963
185,0.54936355,0.5224471
186,0.54936355,0.50086963
187,0.54936355,0.47922388
188,0.54936355,0.47922388
189,0.54936355,0.47922388
190,0.54936355,0.47922388
191,0.54936355,0.47922388
192,,0.47922388
193,0.54936355,0.47922388
194,0.6125427,0.45617485
195,0.6125427,0.47922388
196,0.64560694,0.5224471
197,0.64560694,0.5224471
198,0.64560694,0.5453003
199,0.64560694,0.34183508
200,0.75578356,0.5833231
201,0.75578356,0.62916017
202,0.78337044,0.62916017
203,0.8364147,0.62916017
204,0.75578356,0.6518833
205,0.75578356,0.69735336
206,0.75578356,0.62916017
207,0.70273936,0.62916017
208,0.70273936,0.62916017
209,,0.58737177
210,0.78337044,0.58737177
211,0.7280999,0.5462987
212,0.808731,0.6518833
213,,0.6070294
214,,0.67333835
215,,0.5577211
216,,0.59561473
217,0.808731,0.52461255
218,0.808731,0.5511169
219,,0.67333835
220,0.8364147,0.67333835
221,0.75578356,0.59561473
222,0.70273936,0.69735336
223,0.7280999,0.62916017
224,0.70273936,0.58737177
225,0.70273936,0.6070294
226,0.75578356,0.58737177
227,0.75578356,0.58737177
228,0.78337044,0.62916017
229,0.75578356,0.62916017
230,0.78337044,0.6518833
231,0.75578356,0.62916017
232,0.7280999,0.6518833
233,0.75578356,0.62916017
234,0.75578356,0.6070294
235,,0.62916017
236,0.78337044,0.62916017
237,0.75578356,0.57037073
238,0.7280999,0.6518833
239,0.78337044,0.62916017
240,,0.6070294
241,0.808731,0.6518833
242,0.86409837,0.5577211
243,,0.67333835
244,0.808731,0.72196233
245,0.8364147,0.59561473
246,0.808731,0.67333835
247,,0.69735336
248,,0.67333835
249,0.75578356,0.609457
250,0.75578356,0.59561473
251,0.75578356,0.62916017
252,0.78337044,0.62916017
253,0.808731,0.62916017
254,,0.6518833
255,0.78337044,0.67333835
256,0.75578356,0.5833231
257,0.7280999,0.6518833
