,0,0
0,0.2926527,0.31152713
1,0.32955468,0.3082191
2,0.35095906,0.3236163
3,0.36818334,0.3385175
4,0.34432268,0.34729666
5,,0.35443377
6,,0.34456408
7,0.30287838,0.35228452
8,,0.34708634
9,0.31884944,0.32771575
10,0.27376837,0.34841496
11,,0.33416414
12,0.27697068,0.31610554
13,0.34386307,0.34160718
14,0.38576835,0.31737372
15,,0.34437513
16,0.41504022,0.36178693
17,0.39540237,0.34698683
18,0.39231986,0.3741761
19,,0.3658439
20,0.41145638,0.36454365
21,,0.35829255
22,0.34037796,0.37264925
23,,0.3543165
24,0.2808109,0.34294426
25,,0.35222277
26,0.3392288,0.31889743
27,0.35307243,0.35112017
28,0.32672963,0.34247303
29,,0.3481689
30,0.33655462,0.33736622
31,,0.34898514
32,0.38800925,0.34137762
33,,0.34941506
34,,0.3627288
35,0.27151194,0.34964144
36,0.24615607,0.35665238
37,0.23463607,0.31521332
38,,0.30527198
39,0.27955353,0.3008027
40,,0.32636493
41,,0.31839818
42,0.2716478,0.3374968
43,0.31373426,0.33329603
44,0.35964814,0.31526703
45,0.36893114,0.33209282
46,0.35763767,0.35088903
47,0.36869377,0.3547451
48,0.3792345,0.35005638
49,0.37661156,0.35464627
50,0.3635895,0.35904694
51,0.3418645,0.3579496
52,0.3234094,0.35252392
53,,0.3435543
54,,0.33601543
55,0.28804752,0.3465545
56,0.2991879,0.34258264
57,0.32170025,0.32177752
58,,0.32623363
59,0.2737188,0.33532095
60,,0.33742756
61,0.32384375,0.31608593
62,,0.3433267
63,0.31716627,0.33619198
64,0.32818154,0.34643453
65,0.3438517,0.3334819
66,0.33966047,0.3379577
67,0.34292376,0.34437048
68,0.34764975,0.34265003
69,,0.34398925
70,0.38204116,0.3459328
71,0.37795234,0.3467836
72,0.36584023,0.36022282
73,0.35979134,0.35851038
74,,0.3534591
75,0.38100538,0.35094836
76,,0.35177124
77,,0.35978866
78,0.37219745,0.35088235
79,0.36094436,0.35510427
80,0.30940512,0.35610634
81,0.29033846,0.3514263
82,0.3014898,0.3303442
83,0.3102892,0.3226917
84,,0.32715774
85,,0.330701
86,,0.33791465
87,0.25170064,0.33978224
88,,0.34358335
89,,0.30743334
90,0.2636965,0.34656978
91,0.22844107,0.32750726
92,0.2135271,0.3121329
93,,0.29841125
94,0.26670465,0.29268843
95,0.2580936,0.3227374
96,0.24827245,0.31331688
97,0.22891757,0.30993372
98,0.2215348,0.30609614
