,0,0
0,0.26873416,0.41051507
1,0.27057877,0.41158167
2,0.27085546,0.41043428
3,0.26652065,0.41108063
4,,0.4111776
5,0.2766198,0.4096586
6,0.2934978,0.46335992
7,0.3062255,0.41319782
8,,0.41911423
9,,0.4235771
10,0.3223657,0.4660353
11,0.3118054,0.4675415
12,0.29026976,0.42923814
13,,0.42553404
14,,0.41798255
15,0.26186305,0.46820202
16,0.25981092,0.46565357
17,0.26151717,0.4080266
18,0.26197836,0.40730757
19,0.26430714,0.48710045
20,0.33315393,0.48299265
21,0.33315393,0.4703412
22,0.33315393,0.433023
23,,0.433023
24,0.44779333,0.433023
25,0.44779333,0.4703412
26,0.56189454,0.47328117
27,0.21905275,0.47328117
28,0.33315393,0.5134195
29,,0.3930332
30,0.11410119,0.433023
31,0.33315393,0.45686844
32,0.44779333,0.3563122
33,0.33315393,0.433023
34,0.33315393,0.47328117
35,,0.433023
36,0.44779333,0.433023
37,,0.4703412
38,0.44779333,0.47328117
39,0.33315393,0.48710045
40,0.43903688,0.62081444
41,,0.56906724
42,0.5732582,0.47020388
43,0.7197746,0.5168808
44,,0.5174207
45,0.2930328,0.56906724
46,0.5732582,0.49907836
47,,0.41895118
48,0.43903688,0.5174207
49,,0.4655906
50,,0.47020388
51,0.5732582,0.48137704
52,0.5732582,0.4829459
53,,0.5174207
54,0.43903688,0.5174207
55,0.5732582,0.49907836
56,0.7197746,0.47020388
57,,0.5174207
58,0.5732582,0.56906724
59,,0.48710045
60,,0.44866803
61,0.3777247,0.4833804
62,0.3777247,0.46875116
63,,0.44866803
64,0.3777247,0.44866803
65,0.49985072,0.46875116
66,0.3777247,0.44866803
67,,0.49158502
68,0.19140042,0.44866803
69,,0.4833804
70,0.24992535,0.38335547
71,,0.48057547
72,0.19140042,0.4038444
73,0.24992535,0.4796174
74,0.43624964,0.38335547
75,0.3777247,0.4038444
76,,0.46922442
77,,0.44866803
78,0.3777247,0.47574487
79,0.313825,0.48710045
