,actual,predict
0,69.0,68.43143
1,69.0,68.43143
2,71.0,68.43143
3,72.0,70.50022
4,69.0,71.46347
5,73.0,68.43143
6,64.0,72.37683
7,64.0,63.277954
8,74.0,63.277954
9,71.0,73.23978
10,67.0,70.50022
11,69.0,66.19652
12,69.0,68.43143
13,70.0,68.43143
14,70.0,69.48866
15,66.0,69.48866
16,66.0,65.1133
17,69.0,65.1133
18,68.0,68.43143
19,68.0,67.3322
20,67.0,67.3322
21,66.0,66.19652
22,66.0,65.1133
23,66.0,65.1133
24,67.0,65.1133
25,67.0,66.19652
26,67.0,66.19652
27,67.0,66.19652
28,66.0,66.19652
29,64.0,65.1133
30,64.0,63.277954
31,67.0,63.277954
32,63.0,66.19652
33,63.0,62.37533
34,64.0,62.37533
35,65.0,63.277954
36,65.0,64.174194
37,65.0,64.174194
38,66.0,64.174194
39,64.0,65.1133
40,64.0,63.277954
41,59.0,63.277954
42,63.0,58.75183
43,57.0,62.37533
44,57.0,56.970448
45,54.0,56.970448
46,54.0,54.406384
47,58.0,54.406384
48,61.0,57.85619
49,62.0,60.560932
50,62.0,61.468803
51,59.0,61.468803
52,59.0,58.75183
53,56.0,58.75183
54,57.0,56.09783
55,61.0,56.970448
56,34.0,60.560932
57,52.0,43.090492
58,52.0,52.8141
59,49.0,52.8141
60,46.0,50.68794
61,40.0,48.90732
62,40.0,45.39007
63,46.0,45.39007
64,46.0,48.90732
65,54.0,48.90732
66,39.0,54.406384
67,34.0,45.031982
68,56.0,43.090492
69,56.0,56.09783
70,50.0,56.09783
71,50.0,51.35672
72,44.0,51.35672
73,49.0,47.80101
74,57.0,50.68794
75,57.0,56.970448
76,57.0,56.970448
77,61.0,56.970448
78,61.0,60.560932
79,61.0,60.560932
80,58.0,60.560932
81,58.0,57.85619
82,58.0,57.85619
83,65.0,57.85619
84,65.0,64.174194
85,58.0,64.174194
86,61.0,57.85619
87,61.0,60.560932
88,59.0,60.560932
89,59.0,58.75183
90,54.0,58.75183
91,53.0,54.406384
92,59.0,53.595623
93,56.0,58.75183
94,54.0,56.09783
95,58.0,54.406384
96,58.0,57.85619
97,35.0,57.85619
98,50.0,43.617
99,50.0,51.35672
100,50.0,51.35672
101,57.0,51.35672
102,43.0,56.970448
103,49.0,47.224277
104,49.0,50.68794
105,39.0,50.68794
106,66.0,45.031982
107,68.0,65.1133
108,68.0,67.3322
109,75.0,67.3322
110,75.0,74.05268
111,71.0,74.05268
112,68.0,70.50022
113,69.0,67.3322
114,66.0,68.43143
115,71.0,65.1133
116,68.0,70.50022
117,67.0,67.3322
118,67.0,66.19652
119,67.0,66.19652
120,67.0,66.19652
121,67.0,66.19652
122,69.0,66.19652
123,64.0,68.43143
124,66.0,63.277954
125,66.0,65.1133
126,66.0,65.1133
127,67.0,65.1133
128,65.0,66.19652
129,70.0,64.174194
130,66.0,69.48866
131,64.0,65.1133
132,64.0,63.277954
133,67.0,63.277954
134,66.0,66.19652
135,66.0,65.1133
136,57.0,65.1133
137,56.0,56.970448
138,59.0,56.09783
139,59.0,58.75183
140,54.0,58.75183
141,54.0,54.406384
142,54.0,54.406384
143,51.0,54.406384
144,51.0,52.066406
145,60.0,52.066406
146,62.0,59.654366
147,51.0,61.468803
148,56.0,52.066406
149,51.0,56.09783
150,47.0,52.066406
151,52.0,49.470005
152,52.0,52.8141
153,52.0,52.8141
154,38.0,52.8141
155,38.0,44.761967
156,61.0,44.761967
157,61.0,60.560932
158,51.0,60.560932
159,51.0,52.066406
160,62.0,52.066406
161,62.0,61.468803
162,62.0,61.468803
163,59.0,61.468803
164,58.0,58.75183
165,58.0,57.85619
166,50.0,57.85619
167,55.0,51.35672
168,55.0,55.24186
169,55.0,55.24186
170,35.0,55.24186
171,35.0,43.617
172,35.0,43.617
173,38.0,43.617
174,38.0,44.761967
175,28.0,44.761967
176,47.0,38.55453
177,32.0,49.470005
178,32.0,41.84277
179,34.0,41.84277
180,60.0,43.090492
181,56.0,59.654366
182,45.0,56.09783
183,43.0,48.357044
184,46.0,47.224277
185,52.0,48.90732
186,56.0,52.8141
187,55.0,56.09783
188,58.0,55.24186
189,58.0,57.85619
190,60.0,57.85619
191,60.0,59.654366
192,58.0,59.654366
193,58.0,57.85619
194,53.0,57.85619
195,45.0,53.595623
196,45.0,48.357044
197,55.0,48.357044
198,46.0,55.24186
199,46.0,48.90732
200,53.0,48.90732
201,53.0,53.595623
202,56.0,53.595623
203,41.0,56.09783
204,59.0,46.00478
205,59.0,58.75183
206,64.0,58.75183
207,61.0,63.277954
208,61.0,60.560932
209,54.0,60.560932
210,60.0,54.406384
211,53.0,59.654366
212,53.0,53.595623
213,51.0,53.595623
214,45.0,52.066406
215,41.0,48.357044
216,65.0,46.00478
217,65.0,64.174194
218,59.0,64.174194
219,59.0,58.75183
220,68.0,58.75183
221,68.0,67.3322
222,63.0,67.3322
223,68.0,62.37533
224,68.0,67.3322
225,62.0,67.3322
226,62.0,61.468803
227,67.0,61.468803
228,67.0,66.19652
229,53.0,66.19652
230,58.0,53.595623
231,59.0,57.85619
232,56.0,58.75183
233,61.0,56.09783
234,64.0,60.560932
235,66.0,63.277954
236,66.0,65.1133
237,66.0,65.1133
238,74.0,65.1133
239,72.0,73.23978
240,68.0,71.46347
241,68.0,67.3322
242,71.0,67.3322
243,66.0,70.50022
244,66.0,65.1133
245,72.0,65.1133
246,73.0,71.46347
247,71.0,72.37683
248,67.0,70.50022
249,67.0,66.19652
250,68.0,66.19652
251,72.0,67.3322
252,73.0,71.46347
253,73.0,72.37683
254,74.0,72.37683
255,74.0,73.23978
256,70.0,73.23978
257,69.0,69.48866
258,68.0,68.43143
259,62.0,67.3322
260,65.0,61.468803
261,65.0,64.174194
262,65.0,64.174194
263,67.0,64.174194
264,72.0,66.19652
265,67.0,71.46347
266,69.0,66.19652
267,70.0,68.43143
268,69.0,69.48866
269,73.0,68.43143
270,77.0,72.37683
271,75.0,75.5336
272,78.0,74.05268
273,67.0,76.2057
274,66.0,66.19652
275,66.0,65.1133
276,66.0,65.1133
277,73.0,65.1133
278,71.0,72.37683
279,73.0,70.50022
280,65.0,72.37683
281,63.0,64.174194
282,70.0,62.37533
283,68.0,69.48866
284,68.0,67.3322
285,62.0,67.3322
286,64.0,61.468803
287,60.0,63.277954
288,62.0,59.654366
289,53.0,61.468803
290,53.0,53.595623
291,52.0,53.595623
292,54.0,52.8141
293,44.0,54.406384
294,39.0,47.80101
295,41.0,45.031982
296,52.0,46.00478
297,39.0,52.8141
298,61.0,45.031982
299,50.0,60.560932
300,50.0,51.35672
301,42.0,51.35672
302,42.0,46.62241
303,52.0,46.62241
304,48.0,52.8141
305,48.0,50.060345
306,36.0,50.060345
307,62.0,44.066395
308,62.0,61.468803
309,65.0,61.468803
310,57.0,64.174194
311,55.0,56.970448
312,53.0,55.24186
313,53.0,53.595623
314,53.0,53.595623
315,61.0,53.595623
316,61.0,60.560932
317,61.0,60.560932
318,58.0,60.560932
319,57.0,57.85619
320,52.0,56.970448
321,45.0,52.8141
322,55.0,48.357044
323,55.0,55.24186
324,55.0,55.24186
325,55.0,55.24186
326,59.0,55.24186
327,47.0,58.75183
328,47.0,49.470005
329,60.0,49.470005
330,50.0,59.654366
331,39.0,51.35672
332,53.0,45.031982
333,51.0,53.595623
334,58.0,52.066406
335,58.0,57.85619
336,58.0,57.85619
337,58.0,57.85619
338,71.0,57.85619
339,71.0,70.50022
340,71.0,70.50022
341,70.0,70.50022
342,70.0,69.48866
343,69.0,69.48866
344,69.0,68.43143
345,74.0,68.43143
346,74.0,73.23978
347,72.0,73.23978
348,68.0,71.46347
349,70.0,67.3322
350,70.0,69.48866
351,70.0,69.48866
352,69.0,69.48866
353,67.0,68.43143
354,67.0,66.19652
355,67.0,66.19652
356,60.0,66.19652
357,61.0,59.654366
358,61.0,60.560932
359,62.0,60.560932
360,59.0,61.468803
361,59.0,58.75183
362,48.0,58.75183
363,45.0,50.060345
364,45.0,48.357044
365,45.0,48.357044
366,69.0,48.357044
367,69.0,68.43143
368,61.0,68.43143
369,54.0,60.560932
370,54.0,54.406384
371,56.0,54.406384
372,62.0,56.09783
373,62.0,61.468803
374,62.0,61.468803
375,55.0,61.468803
376,55.0,55.24186
377,54.0,55.24186
378,54.0,54.406384
379,55.0,54.406384
380,55.0,55.24186
381,70.0,55.24186
382,69.0,69.48866
383,68.0,68.43143
384,70.0,67.3322
385,69.0,69.48866
386,69.0,68.43143
387,70.0,68.43143
388,70.0,69.48866
389,68.0,69.48866
390,68.0,67.3322
391,68.0,67.3322
392,67.0,67.3322
393,67.0,66.19652
394,70.0,66.19652
395,72.0,69.48866
396,72.0,71.46347
397,72.0,71.46347
398,72.0,71.46347
399,72.0,71.46347
