,actual,predict
0,0.55987114,0.55555683
1,0.5513107,0.4772157
2,0.48788545,0.44352886
3,0.43593273,0.42527765
4,0.41694617,0.35491228
5,0.40750206,0.2534415
6,0.37663585,0.18846321
7,0.35100067,0.14609748
8,0.34884393,0.12316886
9,0.3519109,0.12838809
10,0.35504204,0.15076266
11,0.35423845,0.1568449
12,0.3514003,0.14336094
13,0.35079882,0.17376679
14,0.3522303,0.24909125
15,0.34950805,0.3174261
16,0.35059667,0.42492425
17,0.36378783,0.5946938
18,0.40732503,0.7352654
19,0.38089168,0.80558836
20,0.507615,0.541658
21,0.5037519,0.4993069
22,0.47787273,0.48338926
23,0.44947883,0.49439242
24,0.43963096,0.48676828
25,0.44639036,0.448836
26,0.44168383,0.39453503
27,0.41980347,0.35690695
28,0.3929334,0.33854645
29,0.37738955,0.31076524
30,0.37071925,0.2975625
31,0.36176646,0.2597053
32,0.35799298,0.19211976
33,0.3516478,0.22149384
34,0.3487447,0.2969808
35,0.3489018,0.33877122
36,0.35783386,0.453616
37,0.37079728,0.6406653
38,0.42241985,0.7914425
39,0.41091007,0.8765666
40,0.50484425,0.6899523
41,0.53718287,0.6853839
42,0.60211235,0.64135164
43,0.59773225,0.6118446
44,0.55727834,0.5846914
45,0.5319414,0.59354883
46,0.5099869,0.64212835
47,0.5170047,0.6504417
48,0.5579653,0.6383899
49,0.5653811,0.6390106
50,0.5546673,0.61250407
51,0.5552133,0.6238638
52,0.5324909,0.6973627
53,0.5420771,0.76678014
54,0.6092947,0.8048537
55,0.6812269,0.8170696
56,0.7242447,0.8014966
57,0.7385815,0.7506371
58,0.7203502,0.6853391
59,0.43306774,0.62747264
60,0.49931723,0.36145306
61,0.43663043,0.25424236
62,0.37913376,0.25598386
63,0.35107908,0.3506369
64,0.351254,0.39328733
65,0.37504423,0.35224736
66,0.39237761,0.3195934
67,0.37563998,0.31564447
68,0.3644626,0.29415026
69,0.36323947,0.25999823
70,0.35706818,0.23014295
71,0.35167998,0.2045751
72,0.34927166,0.21250716
73,0.34860402,0.32425097
74,0.34867346,0.470518
75,0.36594093,0.53378546
76,0.4319971,0.5178327
77,0.4723536,0.44028902
78,0.4615072,0.38277036
79,0.3916545,0.38731265
