,0,0
0,0.72436696,0.5877795
1,,0.5467851
2,0.6812599,0.60242975
3,0.63547236,0.50650907
4,,0.57913107
5,0.4056075,0.55450225
6,0.36390412,0.5287213
7,0.39327264,0.43273556
8,0.40606907,0.41098428
9,0.40769446,0.46306
10,,0.51331973
11,0.6648605,0.5209459
12,0.71590126,0.5035855
13,0.72151226,0.5702959
14,0.6391691,0.5978456
15,0.559516,0.6008835
16,0.51099604,0.5564861
17,,0.5139177
18,0.48524043,0.4881717
19,0.5207195,0.4628245
20,,0.44526395
21,0.37611717,0.42728224
22,,0.4368985
23,0.42623338,0.41734332
24,,0.43116957
25,0.40599892,0.44353238
26,0.3986296,0.42724687
27,0.4069146,0.43294019
28,0.4398899,0.4290887
29,,0.46261275
30,0.6746459,0.62933326
31,,0.5834149
32,,0.5755658
33,0.5759135,0.54985297
34,,0.54447794
35,0.38314453,0.52265024
36,0.35481092,0.5231911
37,,0.42100638
38,,0.4062556
39,0.42198434,0.46319327
